addr,value
addr:street2,Копьёвский переулок
addr:housenumber,6 с1
addr:housenumber,2 с2
addr:housenumber,4/3
addr:housenumber2,3/4
addr:housenumber,41
addr:postcode,123423
addr:street,улица Народного Ополчения
addr:housenumber,43 к3
addr:street,Лосиноостровская улица
addr:housenumber,101 к3
addr:housenumber,44
addr:street,Ходынский бульвар
addr:housenumber,4 к4
addr:street,улица Гризодубовой
addr:street,улица Куусинена
addr:housenumber,15 к3
addr:housenumber,66
addr:street,проезд Берёзовой Рощи
addr:housenumber,14 к2
addr:street,улица Авиаконструктора Микояна
addr:housenumber,14 к4
addr:housenumber,14 к3
addr:street,Оружейный переулок
addr:street,улица Гашека
addr:housenumber,5/1
addr:housenumber2,1/5
addr:street,Большая Садовая улица
addr:housenumber,7А
addr:street,улица Новый Арбат
addr:housenumber,18/2
addr:housenumber,4 к10
addr:street,Береговая улица
addr:housenumber,31
addr:street,Большая Никитская улица
addr:postcode,121069
addr:street,Столовый переулок
addr:housenumber,46/15
addr:postcode,109125
addr:street,площадь Киевского Вокзала
addr:housenumber,26 с3
addr:street,Каланчёвская улица
addr:housenumber,26 с1
addr:housenumber,26 с2
addr:housenumber,5 с17
addr:street,улица Юности
addr:housenumber,95 с2
addr:street,улица Вавилова
addr:housenumber,1 с31
addr:street,Складочная улица
addr:housenumber,1 с53
addr:housenumber,45
addr:street,Ленинский проспект
addr:housenumber,9 с8
addr:street,Планерная улица
addr:postcode,109117
addr:street,Окская улица
addr:housenumber,5 к1
addr:housenumber,2/3
addr:postcode,127422
addr:postcode,127018
addr:street,Новосущёвский переулок
addr:housenumber,23
addr:street,Ярославская улица
addr:housenumber,24 с32
addr:housenumber,24 с23
addr:housenumber,24 с33
addr:street,Ореховый бульвар
addr:housenumber,19 с7
addr:postcode,115191
addr:street,улица Серпуховский Вал
addr:housenumber,105 к4
addr:housenumber,20 к1
addr:street,Рублёвское шоссе
addr:housenumber,7 к1
addr:postcode,125599
addr:street,улица Бусиновская Горка
addr:housenumber,32 к8
addr:street,Кремлёвская набережная
addr:housenumber,18 к2
addr:postcode,121099
addr:street,Красная площадь
addr:housenumber,1 к2
addr:street,Привольная улица
addr:housenumber,13 к1
addr:housenumber,9 к1
addr:street,Хвалынский бульвар
addr:housenumber,4 к1
addr:street,Пронская улица
addr:housenumber,9 к3
addr:housenumber,1 к3
addr:housenumber,5 к3
addr:postcode,109145
addr:housenumber,2 c1
addr:postcode,123022
addr:street,Ходынская улица
addr:housenumber,165Д к7
addr:postcode,123060
addr:street,улица Маршала Рыбалко
addr:street,Лермонтовский проспект
addr:postcode,125319
addr:postcode,117593
addr:street,Литовский бульвар
addr:street,Моршанская улица
addr:housenumber,18/8
addr:street,Жулебинский бульвар
addr:housenumber,3 к2
addr:housenumber,2 к1
addr:housenumber,27 к1
addr:housenumber,5/8
addr:postcode,109390
addr:street,1-я улица Текстильщиков
addr:housenumber,211 к2
addr:postcode,129226
addr:housenumber,37Б
addr:postcode,125499
addr:street,Кронштадтский бульвар
addr:housenumber,91
addr:street,1-я Брестская улица
addr:housenumber,52/2
addr:housenumber,12/2
addr:postcode,129327
addr:street,улица Чичерина
addr:housenumber,1 с7
addr:street,площадь Донецкой Народной Республики
addr:housenumber,1 с8
addr:housenumber,2А
addr:postcode,123308
addr:street,Карамышевская набережная
addr:street,Савёловский проезд
addr:housenumber,8 с1
addr:housenumber,14 с4
addr:street,Краснопресненская набережная
addr:street,улица Новая Башиловка
addr:street,Большая Набережная улица
addr:street,улица Свободы
addr:housenumber,8А
addr:street,Подмосковная улица
addr:street,Тушинская улица
addr:housenumber,11 кБ
addr:street,улица Россолимо
addr:postcode,119002
addr:street,Смоленская-Сенная площадь
addr:housenumber,5А с8
addr:postcode,127015
addr:street,Новодмитровская улица
addr:housenumber,3 с1
addr:housenumber,1 с40
addr:housenumber,1А с1
addr:housenumber,1 с16
addr:housenumber,1 с48
addr:housenumber,2Б
addr:street,Бутырская улица
addr:housenumber,1 с1
addr:housenumber,2/1 к1Б
addr:street,Кутузовский проспект
addr:housenumber,15-17 с2
addr:street,улица Сергия Радонежского
addr:housenumber,19-21
addr:street,1-й Смоленский переулок
addr:street,Серебряническая набережная
addr:housenumber,37 к2
addr:housenumber,3/1 к5
addr:street,Семёновская набережная
addr:housenumber,93 с2
addr:street,Таллинская улица
addr:housenumber,35 с49
addr:street,Кременчугская улица
addr:street,Инициативная улица
addr:street,улица Артамонова
addr:postcode,121357
addr:housenumber,24 с1
addr:housenumber,1 с2
addr:street,5-я Кабельная улица
addr:housenumber,5/1 с3
addr:postcode,109012
addr:housenumber,22 с2
addr:street,Шереметьевская улица
addr:street,Скобелевская улица
addr:housenumber,5 с9
addr:street,3-й Хорошёвский проезд
addr:housenumber,5 с3
addr:street,улица Барышиха
addr:housenumber,2/15 с1
addr:housenumber,42 к12
addr:postcode,109316
addr:housenumber,42 к5
addr:housenumber,24 к19
addr:street,Петровско-Разумовский проезд
addr:housenumber,24 к2
addr:street,2-я Квесисская улица
addr:housenumber,9 с12
addr:street,Товарищеский переулок
addr:street,Новомосковская улица
addr:street,Перекопская улица
addr:street,Керченская улица
addr:housenumber,84 с1
addr:postcode,119571
addr:street,переулок Хользунова
addr:street,Никитский бульвар
addr:street,Рижская площадь
addr:housenumber,1 с4
addr:housenumber,6 к1
addr:street,Солнцевский проспект
addr:street,9-я Парковая улица
addr:housenumber,36 с41
addr:postcode,121170
addr:street,Полярная улица
addr:housenumber,14 с9
addr:street,улица Шухова
addr:street,улица Скульптора Мухиной
addr:housenumber,14 к1 с1
addr:street,улица Богданова
addr:housenumber,40
addr:housenumber,15/17 с1
addr:street,улица Матросская Тишина
addr:housenumber,34/29
addr:street,Дубравная улица
addr:housenumber,27
addr:street,1-я Парковая улица
addr:housenumber,4А с1
addr:street,Первомайская улица
addr:housenumber,5А к1
addr:postcode,121087
addr:street,Береговой проезд
addr:housenumber,6/2 с2
addr:housenumber,1 с3
addr:housenumber,75
addr:housenumber,75 к1
addr:housenumber,77 с1
addr:housenumber,77 с2
addr:housenumber,108
addr:street,улица Милашенкова
addr:street,проезд Стратонавтов
addr:housenumber,147 к1 с2
addr:postcode,129347
addr:street,Палехская улица
addr:street,улица Радио
addr:housenumber,47
addr:street,Байкальская улица
addr:housenumber,18А
addr:street,Алтайская улица
addr:housenumber,105 с15
addr:postcode,109542
addr:street,Рязанский проспект
addr:housenumber,105 с12
addr:housenumber,21/34
addr:street,Баррикадная улица
addr:street,улица Охотный Ряд
addr:postcode,125445
addr:street,Смольная улица
addr:street,Новоорловская улица
addr:housenumber,5 с11
addr:street,улица Сущёвский Вал
addr:postcode,117418
addr:street,Новочерёмушкинская улица
addr:housenumber,67
addr:street,Погонный проезд
addr:street,Тишинская площадь
addr:housenumber,119 с40
addr:postcode,129223
addr:street,проезд Девичьего Поля
addr:housenumber,25 с1
addr:street,улица Большая Ордынка
addr:housenumber,95 к11
addr:quarter,Квартал 95
addr:street,Волжский бульвар
addr:housenumber,19-23
addr:postcode,123242
addr:street,Новинский бульвар
addr:street,улица Советской Армии
addr:street,Красноармейская улица
addr:housenumber,1/5
addr:housenumber,15А
addr:street,Неглинная улица
addr:housenumber,3/6
addr:housenumber2,6/3
addr:street,улица Рождественка
addr:street2,Пушечная улица
addr:housenumber,3 с4
addr:housenumber,6/2
addr:housenumber2,2/6
addr:housenumber,4 с2
addr:street,Пушечная улица
addr:housenumber2,2/6 с2
addr:housenumber,2 с3
addr:postcode,107078
addr:street,Докучаев переулок
addr:housenumber,18 к1
addr:street,улица Хлобыстова
addr:street,улица Васильцовский Стан
addr:housenumber,37 к2 с4
addr:postcode,125493
addr:street,Дубнинская улица
addr:street,улица Генерала Глаголева
addr:street,улица Маршала Василевского
addr:street,улица Маршала Конева
addr:street,улица Маршала Бирюзова
addr:street,"улица Мичуринский Проспект, Олимпийская Деревня"
addr:housenumber,22/2
addr:street,улица Поляны
addr:housenumber,39
addr:housenumber2,39/41
addr:postcode,119121
addr:street,улица Плющиха
addr:housenumber,11 с2
addr:housenumber,6 с5
addr:street,Олсуфьевский переулок
addr:housenumber,13 с3
addr:housenumber,13 с2
addr:housenumber,43 с1Б
addr:postcode,108850
addr:street,бульвар Андрея Тарковского
addr:housenumber,2А к4
addr:postcode,119618
addr:street,Боровское шоссе
addr:housenumber,2А к3
addr:housenumber,2А к1
addr:housenumber,9/7
addr:housenumber,11 к5
addr:street,Соловьиный проезд
addr:street,улица Айвазовского
addr:housenumber,80
addr:postcode,127273
addr:housenumber,80А
addr:housenumber,2 с4
addr:street,улица Планерная
addr:postcode,123592
addr:street,1-й Митинский переулок
addr:housenumber,27 с1
addr:housenumber,33
addr:street,Сходненская улица
addr:postcode,125363
addr:street,улица Фабрициуса
addr:street,1-й Красногорский проезд
addr:street,Азовская улица
addr:street,3-й Нижнелихоборский проезд
addr:housenumber,1 с6
addr:housenumber,65
addr:housenumber,3 с5
addr:street,Верхнелихоборская улица
addr:housenumber,58 с1
addr:housenumber,58 с31
addr:postcode,127486
addr:street,Кастанаевская улица
addr:street,Малая Юшуньская улица
addr:street,Нагорный бульвар
addr:housenumber,10 к2
addr:postcode,127543
addr:street,Авиамоторная улица
addr:street,Большая Дорогомиловская улица
addr:housenumber,вл133Г с1
addr:street,улица Марьинский Парк
addr:street,улица Каретный Ряд
addr:street,Наставнический переулок
addr:street,улица 800-летия Москвы
addr:housenumber,36
addr:housenumber,36 к1
addr:housenumber,18 с1
addr:street,1-й переулок Тружеников
addr:street,Абрикосовский переулок
addr:housenumber,11 с10
addr:housenumber,128
addr:street,Люблинская улица
addr:housenumber,126
addr:street,Полевая улица
addr:housenumber,165 к1
addr:street,Тихорецкий бульвар
addr:street,Южнобутовская улица
addr:housenumber,2А с1
addr:housenumber,3-5 с13
addr:street,Нижний Сусальный переулок
addr:housenumber,5А с4
addr:housenumber,5 с2
addr:housenumber,5 с24
addr:housenumber,42
addr:housenumber,13/12
addr:postcode,125480
addr:street,улица Героев Панфиловцев
addr:street,улица Верхние Поля
addr:housenumber,9 к4
addr:housenumber,31 к1
addr:postcode,109462
addr:housenumber,25 к1
addr:street,Саратовская улица
addr:housenumber,21 к1
addr:street,Нагорная улица
addr:housenumber,20/1
addr:postcode,109382
addr:street,Краснодарская улица
addr:postcode,119049
addr:street,улица Крымский Вал
addr:street,Весенняя улица
addr:housenumber,20 с2
addr:street,Верхняя Радищевская улица
addr:housenumber,70 к1
addr:housenumber,31 с1
addr:postcode,121353
addr:street,Сколковское шоссе
addr:street,улица Хачатуряна
addr:street,улица Гончарова
addr:housenumber,12 к2 с3
addr:street,Лобненская улица
addr:housenumber,12 к4
addr:housenumber,10 к3
addr:housenumber,10 с10
addr:street,Истринская улица
addr:postcode,117279
addr:housenumber,2 с1
addr:street,площадь Журавлёва
addr:postcode,107023
addr:street,Малая Семёновская улица
addr:housenumber,13 к3
addr:street,Неманский проезд
addr:housenumber,11 к2
addr:housenumber,13 к2
addr:housenumber,6 к2
addr:housenumber,20 к2
addr:housenumber,20 к3
addr:postcode,117042
addr:housenumber,22 к1
addr:postcode,123181
addr:street,улица Исаковского
addr:street,Вильнюсская улица
addr:street,улица Рокотова
addr:housenumber,15/10
addr:street,Голубинская улица
addr:street,Новоясеневский проспект
addr:housenumber,28 к2
addr:housenumber,25 к2
addr:housenumber,17/9
addr:housenumber,24 к3
addr:postcode,127540
addr:housenumber,24 к1
addr:housenumber,19 к2
addr:housenumber,7 к5
addr:housenumber,15 к5
addr:postcode,107589
addr:street,Ижорская улица
addr:street,Инженерная улица
addr:street,Крылатская улица
addr:housenumber,17 к3
addr:housenumber,17 к4
addr:housenumber,17
addr:street,Малая Пироговская улица
addr:street,Пятницкое шоссе
addr:housenumber,23 к2
addr:street,Карельский бульвар
addr:housenumber,41 с1
addr:street,Верхняя Сыромятническая улица
addr:street,Мельницкий переулок
addr:housenumber,10А с1
addr:housenumber,17 с2
addr:street,Вагоноремонтная улица
addr:street,Климентовский переулок
addr:housenumber,10 с3
addr:street,Скатертный переулок
addr:street,Петровско-Разумовская аллея
addr:street,Шебашёвский проезд
addr:street,Большой Коптевский проезд
addr:housenumber,6/1
addr:street,Черниговский переулок
addr:housenumber,90 с3
addr:housenumber,90 с1
addr:housenumber,90 с2
addr:housenumber,90 с6
addr:housenumber,90 с12
addr:housenumber,120
addr:housenumber,116
addr:housenumber,116 с4
addr:postcode,125371
addr:housenumber,112 к1 с1
addr:housenumber,112 к1 3Б
addr:housenumber,112 к1 с3
addr:housenumber,112 к1 с2
addr:housenumber,28 к1
addr:postcode,125466
addr:street,Воротынская улица
addr:housenumber,79 к19
addr:housenumber,79 с28
addr:housenumber,79 к1
addr:housenumber,79 к8
addr:housenumber,81А с18
addr:housenumber,81А
addr:housenumber,81А с16
addr:housenumber,81 с2
addr:housenumber,110 с28
addr:housenumber,110 с23
addr:housenumber,9/25 с1
addr:housenumber,101
addr:postcode,121552
addr:housenumber,21 к1 с2
addr:street,Благовещенский переулок
addr:housenumber,14 с6
addr:postcode,111402
addr:housenumber,107 с17
addr:housenumber,107 с3
addr:housenumber,2 с24
addr:postcode,109052
addr:housenumber,2 с49
addr:housenumber,2 с86
addr:housenumber,4 к1 с4
addr:housenumber,вл2 к2
addr:housenumber,32 с5
addr:housenumber,8 к3
addr:housenumber,2А к2
addr:housenumber,15 к4
addr:street,Лухмановская улица
addr:street,Павелецкая площадь
addr:housenumber,3/13 с4
addr:housenumber,3/13 с1
addr:housenumber2,13/3 с1
addr:street2,Лубянский проезд
addr:street,Таганская улица
addr:housenumber,вл8 к1
addr:housenumber,41 с4
addr:street,Вятская улица
addr:street,Писцовая улица
addr:housenumber,20-22
addr:street,Савёловская линия
addr:postcode,119619
addr:street,улица Авиаторов
addr:housenumber,157 с7
addr:housenumber,157 с15
addr:housenumber,157 с12
addr:housenumber,157
addr:housenumber,157 с3
addr:housenumber,157 с4
addr:housenumber,30 с6
addr:street,2-й Красносельский переулок
addr:housenumber,11/2 с4
addr:street,улица Измайловский Вал
addr:street,Нижний Журавлёв переулок
addr:housenumber,18 с7
addr:postcode,105082
addr:street,Переведеновский переулок
addr:postcode,115432
addr:street,улица Архитектора Щусева
addr:housenumber,66 к2
addr:postcode,125315
addr:housenumber,35 с1
addr:street,Ольховская улица
addr:street,Челябинская улица
addr:street,Зарайская улица
addr:housenumber,37
addr:postcode,109429
addr:street,"МКАД, 14-й километр"
addr:housenumber,12 к2
addr:housenumber,54 с1
addr:housenumber,32А
addr:housenumber,6 к1 с2
addr:housenumber,6 к1 с1
addr:housenumber,110А c3
addr:housenumber,4/2 с8
addr:street,Кадашёвская набережная
addr:street,Большая Татарская улица
addr:housenumber,57 с10
addr:housenumber,122 к1
addr:housenumber,11 с4
addr:street,Новокузнецкая улица
addr:housenumber,28 с2
addr:postcode,115184
addr:housenumber,28 с1
addr:postcode,129090
addr:street,Электрозаводская улица
addr:street,улица Космонавта Волкова
addr:street,Малая Калужская улица
addr:housenumber,43
addr:housenumber,45 с3
addr:postcode,109387
addr:street,Летняя улица
addr:street,Тихая улица
addr:street,Большой Спасоглинищевский переулок
addr:housenumber,7/9 с1
addr:street,1-й Кадашёвский переулок
addr:housenumber,2 с8
addr:street,Кадашёвский тупик
addr:housenumber,2 с18
addr:housenumber,2 с6
addr:street,2-й Кадашёвский переулок
addr:housenumber,6/2 с10
addr:housenumber,6/2 с8
addr:housenumber,11/5 с4
addr:housenumber,16/4 с4
addr:housenumber,14 с1-2
addr:housenumber,14 с18
addr:street,улица Ефремова
addr:housenumber,157 с16
addr:housenumber,157 с14
addr:housenumber,вл6 с4
addr:street,улица Варварка
addr:street,Воронежская улица
addr:street,3-й Самотёчный переулок
addr:street,улица Маршала Новикова
addr:housenumber,50 к1
addr:street,Каширское шоссе
addr:street,2-я улица Бебеля
addr:full,"Капотня 5-й квартал, 20"
addr:postcode,123298
addr:street,Тепличный переулок
addr:street,Спасопесковский переулок
addr:street,улица Академика Анохина
addr:postcode,123182
addr:street,Авиационная улица
addr:housenumber,24 с4В
addr:housenumber,12 с10Г
addr:street,Большой Саввинский переулок
addr:housenumber,12 с9
addr:street,улица Нижняя Масловка
addr:housenumber,24 с2
addr:street,Погодинская улица
addr:housenumber,13А
